Nom de la gare;Code UIC;Code postal;Segmentation;voyageurs 2016;volume total d'usagers 2016 (voyageurs+ non voyageurs);voyageurs 2015;volume total d'usagers 2015 (voyageurs+ non voyageurs);voyageurs 2014;volume total d'usagers 2014 (voyageurs+ non voyageurs)
Mareil sur Mauldre;381715;78124;c;59400;;59400;;59400;
Marienthal;213603;67500;c;64863;;65329;;60835;
Marles en Brie;116228;77610;b;372600;;372600;;280800;
Maromme;411249;76150;b;89778;;107993;;128222;
Marquette;287169;59252;c;15;;;;;
Martigues;753509;13500;c;35611;;40455;;44022;
Martres Tolosane;611087;31220;c;24679;;23196;;22865;
Matzenheim;214130;67150;c;34068;;31533;;29807;
Maurecourt;381483;78570;b;550800;;556200;;556200;
Maurs;645168;15400;c;9837;;10121;;10570;
Mauves sur Loire;481150;44470;c;14872;;15274;;13742;
Mauze;485250;79210;c;46991;;53800;;58041;
Mazamet;615542;81200;c;53982;;55688;;51404;
Ménars;574244;41500;c;102;;;;30;
Menton;756486;6500;b;1363022;;1340336;;1361104;
Mériel;276675;95630;b;297000;;297000;;297000;
Mérignac Arlac;278259;33000;c;78456;;84344;;89657;
Méry sur Oise;276667;95540;b;594000;;594000;;594000;
Metz;192039;57000;a;6955138;10051639;7390514;9012822;7446428;9081010
Meung sur Loire;574137;45130;b;261028;;273990;;276043;
Meymac;594275;19250;c;16475;;19370;;20852;
Meyrargues;751370;13650;c;51111;;53339;;54781;
Mézidon;444208;14270;b;307494;;316457;;314420;
Montceau les Mines;694620;71300;c;46268;;53288;;52096;
Montdidier;313346;80500;b;153509;;165556;;164337;
Montereau;682302;77130;b;2665992;;2663927;;2678567;
Montérolier-Buchy;411454;76680;c;30655;;32955;;36787;
Montfort le Gesnois;396291;72450;c;43155;;50154;;53977;
Montfort sur Meu;471078;35160;b;328500;;318457;;325564;
Montluel;723569;1120;b;473546;;483149;;477437;
Montréjeau-Gourdan Polignan;611152;31210;b;176714;;169432;;170643;
Montreuil;382879;78000;b;2011836;;2208600;;2207321;
Montreuil sur Ille;478032;35440;b;243626;;244234;;240823;
Monts (Indre et Loire);575035;37260;b;122853;;125704;;130709;
Montsûrs;478537;53150;c;44273;;40382;;36604;
Moosch;182592;68690;c;28371;;34408;;34190;
Morcenx;673103;40110;b;121177;;139405;;150013;
Morhange;192286;57340;b;86957;;91821;;90919;
Mothern;212456;67470;c;3442;;5236;;5684;
Motteville;411280;76970;c;82809;;94564;;97635;
Mouans Sartoux;401323;6370;b;88750;;96351;;94395;
Moustéru;473512;22200;c;389;;127;;;
Mullerhof;214643;67280;c;6086;;7025;;8294;
Munchhausen;212449;67470;c;3750;;3750;;4843;
Murat;645481;15300;c;16920;;19223;;18956;
Mutzig;214585;67190;b;242809;;236807;;241416;
Nançois-Tronville;175067;55500;c;814;;1383;;1244;
Nancy;141002;54000;a;7670652;11599539;7896116;11963812;8097241;12268547
Nangis;116095;77370;b;955800;;955800;;577800;
Nanteuil le Haudouin;271577;60440;b;131720;;136267;;126826;
Nantiat;592444;87140;c;19358;;19441;;19571;
Neau;478545;53150;c;8066;;4000;;3602;
Négrondes;595132;24460;c;2462;;2097;;1683;
Neufchâtel Hardelot;317099;62152;c;10432;;10230;;8598;
Neuilly lès Dijon;712182;21800;c;7748;;7620;;8753;
Nice Saint-Augustin;756254;6200;b;921836;;931573;;929082;
Nice Saint-Roch;756007;6300;c;1186;;1482;;3835;
Nissan;781179;34440;c;;;847;;1116;
Niversac;595512;24330;c;7706;;8048;;6829;
Nogent le Perreux;113746;94130;b;4476600;;4201200;;4201200;
Noiretable;734509;42440;c;3614;;5562;;8632;
Notre Dame de Briancon;741694;73260;c;4819;;4949;;6538;
