Nom de la gare;Code UIC;Code postal;Segmentation;voyageurs 2016;volume total d'usagers 2016 (voyageurs+ non voyageurs);voyageurs 2015;volume total d'usagers 2015 (voyageurs+ non voyageurs);voyageurs 2014;volume total d'usagers 2014 (voyageurs+ non voyageurs)
Sainte-Gauburge;444604;61370;c;3333;;2984;;4094;
Saint-Egrève-Saint-Robert;747352;38120;c;48597;;54232;;55911;
Sainte-Maure Noyant;575050;37800;c;92822;;95854;;96279;
Saint-Emilion;584102;33330;c;60433;;56157;;49968;
Saint-Etienne de Montluc;481812;44360;c;94078;;96173;;89181;
Saint-Féliu d'Avail;784520;66170;c;963;;1114;;75;
Saint-Gaudens;611137;31800;b;249399;;265545;;278902;
Saint-Georges d'Aurac;734301;43230;c;3534;;3454;;4379;
Saint-Georges de Reneins;721340;69830;c;59433;;63700;;62579;
Saint-Gervais les Bains Le Fayet;746479;74170;b;389994;;377842;;385241;
Saint-Gilles Croix de Vie;486571;85800;b;82751;;55437;;76456;
Saint-Joseph le Castellas;759316;13015;c;9073;;8940;;9106;
Saint-Laurent en Grandvaux;715417;39150;c;16553;;16216;;16261;
Saint-Laurent Gainneville;413310;76700;c;40237;;40429;;40290;
Saint-Louis la Chaussée;181016;67300;c;55921;;50629;;45188;
Saint-Louis les Aygalades;751644;13000;c;37;;;;574;
Saint-Mariens-Saint-Yzan;491209;33620;c;113621;;114482;;109966;
Saint-Martin Bellevue;746222;74370;;865;;451;;773;
Saint-Martin de Crau;753681;13310;c;75674;;74479;;68938;
Saint-Médard d'Eyrans;582692;33650;c;47888;;54126;;52233;
Saint-Nazaire;481705;44600;a;853503;;882921;;811008;
Saint-Ouen l'Aumône Eglise;381426;95310;b;437400;;437400;;437400;
Saint-Paterne;571554;37370;c;13807;;14948;;14707;
Saint-Paul de Varax;723783;1240;c;78523;;74885;;75182;
Saint-Piat;394148;28130;b;179759;;176165;;177855;
Saint-Pierre d'Aurillac;582833;33490;c;6151;;7732;;9391;
Saint-Pierre de Chignac;595520;24330;c;42;;;;;
Saint-Pierre des Corps;571240;37700;a;3064214;;3557561;;3081685;
Saint-Quentin en Yvelines;393843;78180;b;13989467;;14925600;;14924566;
Saint-Romain le Puy;726430;42610;c;42647;;47774;;49074;
Saint-Victor Thizy;721043;69240;c;19229;;18327;;13754;
Saint-Vincent le Château;734715;43800;c;10905;;10980;;10238;
Sallaumines;345215;62430;c;15404;;17739;;19031;
Salles Courbatiers;613877;12260;c;1648;;1511;;1150;
Sarre Union;215459;67260;c;124116;;132353;;133703;
Sartrouville;386417;78500;b;10357350;;10908000;;10908000;
Saulxures (Bas-Rhin);214759;67420;c;2321;;2775;;2840;
Sauto;784777;66210;c;105;;;;;
Sauveterre la Lémance;586495;47500;c;239;;280;;124;
Savenay;481838;44260;b;444234;;439781;;423355;
Saverne;212225;67700;b;1163799;;1192543;;1137493;
Savigny le Temple-Nandy;682187;77176;b;3812400;;3812400;;3515400;
Savigny sur Orge;545236;91600;b;5129458;;6409800;;6409800;
Schirmeck la Broque;214692;67130;b;310436;;321316;;317548;
Sées;444695;61500;c;80253;;89151;;94755;
Séon Saint-Henry;751636;13016;c;343;;641;;712;
Serezin;722546;69360;b;172512;;185455;;198690;
Serquigny;444315;27470;c;24777;;26946;;26908;
Servon;471532;35530;c;98213;;109090;;110574;
Sévérac le Château;783365;12150;c;16083;;17843;;16978;
Seyssel-Corbonod;745828;1420;c;53096;;59945;;52626;
Sierentz;182105;68510;b;248067;;246089;;234387;
Sincey-les-Rouvray;694430;21530;c;;;;;;
Sisteron;751206;4200;c;23896;;25633;;26838;
Soissons;271817;2200;b;592183;;629273;;634764;
Solignac le- Vigen;592246;87110;c;1962;;2809;;2521;
Stephansfeld;212126;67170;c;39521;;39298;;37802;
Tacoignières-Richebourg;393454;78910;b;172800;;172800;;172749;
Taconnaz;746750;74310;c;2893;;2765;;3317;
Tende;756882;6430;c;21474;;19200;;10107;
Tessonnières;615245;81600;c;4196;;3675;;3566;
Thann;182568;68800;b;154969;;165922;;167688;
Thann Centre;472605;68800;c;23299;;24169;;24863;
Theillay;543199;41300;c;17896;;20824;;19869;
Thieux-Nantouillet;272054;77230;c;16200;;16200;;16200;
Tieffenbach-Struth;215699;67290;c;57376;;53084;;52536;
Champagne sur Seine;682450;77430;b;415800;;415800;;414119;
Champagney;185348;70290;c;42703;;45917;;42565;
Champagnole Paul Emile Victor;352047;39300;c;5967;;6873;;6659;
Champigneulles;141085;54250;c;13830;;18888;;19816;
Chantilly-Gouvieux;276113;60500;b;2358728;;2282294;;2256374;
Chaponval;276162;95430;c;48600;;48600;;48600;
Chasseneuil (Vienne);575225;86360;c;9716;;11168;;11447;
Chasserades;775148;48250;c;322;;263;;300;
Châteaubriant;481648;44110;c;26664;;26939;;22493;
Châteauroux;597005;36000;a;731376;;766504;;784797;
Châtel Censoir;696856;89660;c;3202;;3624;;3867;
Châtellerault;575142;86100;a;488194;;505263;;518114;
Chazay-Marcilly;721415;69380;c;14192;;13494;;11308;
Cheilly les Maranges;694398;71150;c;4166;;4755;;5346;
Chindrieux;741116;73310;c;16545;;16191;;16962;
Chocques;342220;62920;c;6259;;6396;;5115;
Choisy le Roi;545285;94600;b;12752894;;13284000;;13284000;
Chorges;763425;5230;c;18384;;20649;;19781;
Cinq Mars;571836;37130;c;95040;;89946;;79623;
Cintegabelle;611376;31550;c;97472;;97489;;99232;
Clamart;391565;92140;b;3104948;;3110400;;3109646;
Clermont la Pardieu;782607;63000;b;283603;;309278;;299547;
Cloyes;574509;28220;c;11583;;13346;;13114;
Collonges;713321;21110;c;28422;;27530;;24444;
Comines France;286260;59560;c;1818;;3091;;4895;
Conflans fin d'Oise;381459;78700;b;4251886;;5194800;;5194800;
Contrexéville;144287;88140;c;32143;;41475;;45870;
Corbehem;345116;62112;c;31966;;33998;;34207;
Corgoloin;713537;21700;c;12881;;14316;;14598;
Cormery;571430;37320;b;118955;;121587;;117981;
Coudekerque Branche;281402;59210;c;7203;;7324;;5760;
Courcy-Brimont;171710;51220;c;20720;;21691;;23242;
Courghain;281337;59760;c;;;;;;
Courtalain Saint-Pellerin;394494;28290;c;4650;;5234;;6016;
Couze;584425;24150;c;753;;1216;;1754;
Cramoisy;313544;60660;c;2876;;2053;;1739;
Cravant-Bazarnes;683649;89460;c;7078;;10577;;13575;
Crêches sur Saône;725713;71680;c;21631;;19776;;17936;
Crépy en Valois;271593;60800;b;945726;;928565;;920831;
Crouy sur Ourcq;116640;77840;b;151200;;151200;;140400;
Culmont-Chalindrey;142125;52600;c;71831;;80877;;91413;
Culoz;741074;1350;b;206526;;207679;;192555;
Danjoutin;27;;c;;;;;;
Dannes-Camiers;317081;62187;c;11878;;12416;;9677;
Daours;315044;80800;c;24978;;27484;;24439;
Dardilly le Jubin;721449;69570;c;47293;;53139;;54039;
Darsac;734673;43270;c;8411;;7364;;5719;
Denain;343459;59220;c;26760;;26976;;31172;
Dercy-Froidmont;297143;2270;c;12721;;13080;;12293;
Dijon Porte Neuve;713008;21000;b;145633;;153365;;162780;
Dinan;478164;22100;c;79261;;82303;;89164;
Distroff;191320;57134;c;23618;;25624;;24046;
Docelles-Cheniménil;144030;88460;c;6148;;5469;;5362;
Domblans-Voiteur;718213;39210;c;44197;;45017;;45580;
Dommartin-Remiencourt;316109;80440;c;7965;;8243;;7212;
Donchery;172239;8350;c;27113;;21685;;15857;
Dorlisheim;214338;67120;c;94826;;87086;;90971;
Douai;345009;59500;a;2825738;;2857231;;2821051;
Dourdan;545525;91410;b;719433;;723600;;723600;
Dourges;345165;62119;b;237018;;249333;;244769;
Drap-Cantaron;756775;6340;c;18486;;18610;;13153;
Ebersviller;191379;57320;c;5672;;7301;;6698;
Eichhoffen;214239;67140;c;14879;;16105;;15779;
Entraigues-sur-la-Sorgue;765826;;c;20949;;17597;;;
Epierre Saint-Leger;741280;73220;c;30306;;30428;;31296;
Eragny-Neuville;381418;95610;b;702000;;664200;;663894;
Err;784843;66800;c;362;;347;;148;
Esquelbecq;281113;59470;c;105777;;102390;;102000;
Etain;175794;55400;c;68216;;74097;;84543;
Etival Clairefontaine;144642;88480;c;51642;;54276;;60156;
Farbus;342527;62580;c;1280;;2547;;2923;
Faulquemont;193359;57380;b;175040;;179888;;193417;
Ferrières-Fontenay;684241;45210;c;3420;;4611;;5991;
Feuquières-Fressenville;317503;80210;c;16173;;18968;;19932;
Feurs;726877;42110;b;159506;;179482;;200826;
Figeac;613091;46100;b;148836;;152285;;158156;
Flaxlanden;181040;68720;c;13046;;14096;;11628;
Fons Saint-Mamert;775379;30730;c;16645;;12690;;11224;
Fontainebleau-Avon;682211;77210;b;3763228;;3766815;;3766837;
Fontan-Saorge;756858;6540;c;3916;;3667;;1453;
Font-Romeu Odeillo Via;784819;66120;c;51885;;44883;;38069;
Fos sur Mer;753442;13270;c;5872;;7666;;7760;
Foucart-Alvimare;413377;76640;c;9327;;12007;;13467;
Fougeray-Langon;471201;35390;c;11089;;13069;;15285;
Fourmies;295048;59610;b;177597;;199663;;214151;
Franois;718304;25770;c;24249;;24473;;27454;
Freinville-Sevran;113894;93270;b;988200;;988200;;934200;
Gan;672618;64290;c;2929;;2866;;2213;
Gap;763003;5000;b;229219;;239450;;240905;
Gargenville;381566;78440;b;307800;;297000;;297000;
Gauriaguet;491225;33240;c;26403;;24768;;25593;
Gazinet Cestas;582403;33610;b;279431;;293935;;295148;
Germaine;171587;51160;c;23648;;21164;;21796;
Noyon;276782;60400;b;561790;;571065;;582020;
Nyer;784736;66123;c;71;;36;;;
Obermodern;213165;67330;b;192349;;190921;;187633;
Obernai;214288;67210;b;618799;;638124;;637117;
Ogeu les Bains;672709;64680;c;8439;;9214;;8567;
Ollioules-Sanary sur Mer;755231;83190;b;261742;;258309;;254934;
Oloron Sainte-Marie;672725;64400;c;92919;;91400;;97432;
Carantilly Marigny;447144;50570;c;1029;;1251;;903;
Carbonne;611061;31390;b;261671;;279397;;284195;
Carhaix;473504;29270;c;55626;;61089;;65508;
Carnoles;756478;6180;b;496560;;420995;;380478;
Cassel;281139;59970;c;103801;;99658;;90604;
Cassis;751776;13260;b;207801;;198073;;189752;
Caudrot;582841;33490;c;5447;;8675;;9187;
Cerbère;785006;66290;c;47870;;55111;;58061;
Cergy Saint-Christophe;382499;95800;b;5410800;;5416200;;5416200;
Cerizay;487280;79140;c;32;;49;;;
Cernay (Haut-Rhin);182410;68700;b;386289;;414797;;421616;
Cérons;582742;33720;b;206669;;193180;;166815;
Chabenet;597112;36800;c;83;;;;;
Chabris;576223;36210;c;19867;;14590;;16010;
Chagny;713578;71150;b;339194;;365942;;366558;
Chalais;583690;16210;c;15956;;17774;;17384;
Challans;481390;85300;b;128602;;99955;;126237;
Chalon sur Saône;725002;71100;a;1264996;;1389893;;1423504;
Chalonnes;484204;49290;b;191265;;197246;;211637;
Chamalières sur Loire;734731;43800;c;1426;;1321;;2082;
Chamousset;741231;73390;c;27025;;26546;;26022;
Champigny sur Yonne;683128;89340;c;57318;;62719;;67893;
Champs Saint-Bris;683615;89290;c;3037;;6764;;7593;
Champtocé sur Loire;484352;49123;c;27921;;28375;;26788;
Chartrettes;682419;77590;c;37800;;37800;;37800;
Château Arnoux Saint-Auban;751230;4160;c;14909;;15356;;14452;
Château du Loir;396606;72500;b;152529;;150621;;153955;
Château Renault;574665;37110;c;62601;;64060;;66304;
Châteaudun;545756;28200;b;91928;;102254;;106512;
Chaumont;142000;52000;b;373589;;403884;;404873;
Chenevieres;141382;54122;c;3389;;2703;;3548;
Chevaigné;471458;35250;c;32830;;31029;;29826;
Chirac;783290;48100;c;14;;72;;33;
Choisy au Bac;272062;60750;;5;;;;;
Clermont en Argonne;175737;55120;c;105;;67;;154;
Coarraze Nay;672139;64800;c;25948;;26287;;27477;
Cognac;491449;16100;b;135109;;147653;;151315;
Collioure;784256;66190;c;64266;;84780;;82674;
Colmar-Mésanges;402297;68000;c;1958;;3067;;3073;
Colomiers;611467;31770;b;291204;;308378;;302868;
Commentry;641415;3600;b;158524;;170720;;176501;
Compans;272047;77290;c;43200;;43200;;43147;
Conches;387159;27190;b;97226;;100413;;101336;
Conflans Jarny;192666;54800;b;119706;;133507;;137955;
Conlie;396218;72240;c;61867;;64133;;61784;
Connerre Beillé;396309;72160;b;168171;;176049;;175928;
Corbie;313056;80800;b;341247;;360828;;347059;
Corbigny;696617;58800;c;4133;;3945;;4296;
Corcy;272286;2600;c;33;;245;;389;
Cordemais;481820;44360;c;25637;;29156;;24508;
Cordesse Igornay;694547;71540;c;38;;;;;
Cordes-Vindrac;613802;81170;c;7453;;8499;;7341;
Cormeilles en Parisis;381863;95240;b;3621021;;2959200;;2952956;
Corps Nuds;471326;35150;c;15908;;63207;;62076;
Couëron;481804;44220;c;30301;;31560;;30961;
Couiza Montazels;615203;11190;c;250;;257;;569;
Coulanges sur Yonne;696831;89480;c;2593;;2973;;2835;
Courbevoie;382200;92400;b;3653169;;3715200;;3712718;
Coursan;781161;11110;c;1952;;2276;;1712;
Cousance;718270;39190;c;5317;;6445;;5784;
Cransac;613232;12110;c;2948;;3166;;2899;
Crissé;396226;72140;c;1663;;1337;;1375;
Croix d'Hins;582437;33380;c;2;;;;;
Croix-Sainte;753491;13500;c;3236;;2690;;2694;
Cuers-Pierrefeu;755355;83390;c;29236;;26858;;29349;
Dettwiller;212183;67490;b;130887;;130398;;119176;
Die;761841;26150;c;47649;;45617;;39111;
Dijon;713040;21000;a;5796935;7859795;6060661;8190082;6227103;8415004
Diou;696435;3490;c;1367;;1491;;2488;
Dives sur Mer Port Guillaume;337378;14160;c;2729;;2969;;3066;
Dives-Cabourg;444414;14390;c;24144;;25870;;24868;
Dole;713412;39100;b;794083;;787397;;785098;
Dommartin Lissieu;721738;69380;c;9707;;10619;;11154;
Domont;276436;95330;b;2727000;;2727000;;2727000;
Don Sainghin;286435;59272;b;225096;;228023;;244927;
Donjeux;142273;52300;c;6453;;5292;;4927;
Drefféac;476770;44530;c;3102;;2735;;2927;
Dreuil lès Amiens;316075;80730;c;12320;;13479;;16732;
Durtol-Nohanent;641449;63830;c;313;;224;;1029;
Echirolles;725895;38130;b;377903;;408874;;433587;
Ecole Valentin;710731;25480;c;5002;;5748;;5058;
Eguzon;597153;36270;c;5070;;5169;;5399;
Emerainville-Pontault Combault;116046;77184;b;4440240;;4482000;;4464761;
Enghien les Bains;276022;95880;b;6698495;;6728400;;6727559;
Epanvilliers;575357;86510;c;601;;978;;1654;
Epernay;171553;51200;b;736651;;775224;;834283;
Epinay-Villetaneuse;271122;93800;b;11673474;;11707200;;11696283;
Esches;272096;60110;c;36647;;32798;;28747;
Esperaza;615211;11260;c;553;;543;;936;
Essonnes Robinson;681601;91100;b;313200;;313200;;237600;
Etampes;545137;91150;b;2402825;;2400350;;2409273;
Etang;694141;71190;c;67592;;79924;;79665;
Eurville;175141;52410;c;933;;1151;;944;
Eymoutiers-Vassiviere;592121;87120;c;39896;;38400;;38361;
Fegersheim-Lipsheim;212266;67640;b;168536;;162985;;156850;
Felletin;597849;23340;c;3435;;4372;;5666;
Fenouillet Saint-Alban;611962;31150;c;38;;1025;;202;
Fère en Tardenois;171371;2130;c;7338;;12704;;13870;
Feuquerolles;316752;80190;c;671;;519;;618;
Feuquières-Broquiers;313742;60960;c;19091;;24644;;21921;
Lorient;476002;56100;a;1160906;1666699;1176421;1680602;1221702;1745289
Lourches;343475;59156;c;11526;;10769;;12779;
Louvroil;295535;59720;c;3644;;4262;;4341;
Luant;597096;36350;c;522;;816;;758;
Luce;394015;28110;c;24198;;24816;;26891;
Ludon;581181;33290;c;19232;;25717;;28977;
Lure;185249;70200;b;171593;;198421;;211471;
Lutzelbourg;215160;57820;c;57811;;59866;;57751;
Lutzelhouse;214650;67130;b;147833;;159236;;150788;
Lyon Perrache;722025;69286;a;6111077;8049413;5673875;7465625;5881997;7739470
Lyon Saint-Paul;721159;6005;b;1324703;;1191708;;1055316;
Magenta;281873;75010;b;41256000;;42233400;;42233400;
Magny-Blandainville;394429;28120;c;1318;;1898;;1299;
Maille;575068;37800;c;18901;;20667;;18813;
Mailly la Ville;683847;89270;c;2336;;2490;;2804;
Maisse;681486;91720;b;210600;;210600;;172800;
Malause;611871;82200;c;595;;1056;;549;
Malesherbes;684415;45330;c;5445;;5784;;7272;
Malling;191627;57480;c;15;;;;451;
Manduel-Redessan;775064;30129;c;4817;;5314;;6374;
Mantes la Jolie;381509;78200;b;9213166;;7518243;;7466638;
Marcheprime;582445;33380;b;303190;;308499;;303482;
Margival;271882;2880;c;10;;;;104;
Marly le Roi;382465;78160;b;2316600;;2127600;;2127600;
Marmagne;576132;18500;c;7501;;7701;;9204;
Maroeuil;342188;62161;c;18335;;21970;;20844;
Marolles en Hurepoix;545186;91630;b;1171800;;1171800;;1171800;
Marseillan Plage;781294;34340;c;5169;;5527;;4220;
Martigny les Bains;144295;88320;c;10773;;13008;;13570;
Massiac-Blesle;734871;15500;c;29320;;34044;;34617;
Massy-Verrières;383281;91300;b;206273;;248400;;248400;
Maurois;345546;59980;c;406;;910;;754;
Mauzac;584466;24150;c;888;;1288;;1940;
Mayet;396580;72360;c;35628;;35994;;34262;
Meaux;116103;77100;b;7641211;;7813800;;5853600;
Mennecy;681411;91540;b;1134000;;1134000;;928800;
Mennetou sur Cher;576728;41320;c;1518;;1750;;1771;
Mérens les Vals;611525;9110;c;1678;;1558;;2111;
Méricourt-Ribemont;313064;80340;c;32490;;30198;;35934;
Mertzwiller;213207;67580;c;79873;;76359;;68164;
Mervans;713701;71310;c;6567;;7660;;7953;
Messac-Guipry;471185;35480;b;245180;;251885;;270988;
Messein;141499;54850;c;12729;;14994;;18328;
Mesvres;694158;71190;c;3417;;3075;;3466;
Metzeral;182816;68380;c;60588;;67896;;68643;
Meurchin;345272;62410;c;64504;;68733;;70149;
Milhaud;775098;30540;c;2725;;1877;;2337;
Miramas;753004;13140;b;502290;;516155;;524863;
Miribel;723528;1700;b;267423;;279203;;271536;
Moirans;747329;38430;b;708824;;753899;;741988;
Molinges;743591;39360;c;1375;;1083;;1010;
Mommenheim;212142;67670;b;206395;;202753;;193208;
Mont Louis la Cabanasse;784793;66210;c;90016;;94344;;61725;
Montaigu (Vendée);481465;85600;b;310298;;314870;;303388;
Montélimar;764001;26200;a;973907;;922721;;928758;
Montescourt;296418;2440;c;16999;;18547;;17270;
Montgeron-Crosne;682104;91230;b;4033800;;4033800;;3526200;
Montgeroult-Courcelles;381160;95650;c;32400;;27000;;27000;
Montlaur;618207;31450;c;3526;;3390;;3308;
Montpellier Saint-Roch;773002;34011;a;8222823;13009483;8008942;12712606;8289542;13158003
Montrabé;611848;31850;c;43502;;45987;;40989;
Montreuil Bellay;487637;49260;c;5706;;6449;;5416;
Montreux Vieux;184275;68210;c;65380;;65381;;63982;
Montrichard;574855;41400;c;71919;;69071;;68517;
Montrond les Bains;726885;42210;b;90683;;104404;;114069;
Morgny;411439;76750;c;28665;;33245;;38429;
Morlaix;474338;29600;a;532424;;524505;;531389;
Mouchard;718833;39330;b;132330;;133674;;129969;
Moult-Argences;444190;14370;c;51585;;52991;;46871;
Moutiers Salins Brides les Bains;741728;73600;a;341382;;366290;;373933;
Mouy Bury;313577;60250;b;166393;;169161;;177711;
Mulhouse;182063;68053;a;4874589;6446871;5044556;6637574;5068890;6669592
Mulhouse Musées;534339;68200;c;;;;;;
Mulhouse-Dornach;182055;68200;b;158338;;171805;;152804;
Munster;182394;68140;b;268471;;278922;;292735;
Naintre les Barres;575175;86530;c;27180;;31929;;29029;
Najac;613463;12270;c;7674;;7760;;6376;
Namps-Quevauvillers;313379;80710;c;1005;;1031;;849;
Nanterre Université;386318;92000;b;5556600;;5556600;;5556600;
Nantes;481002;44041;a;11009424;15615397;10592389;14918858;10326625;14544543
Nanteuil-Saâcy;116558;77730;b;696600;;696600;;545400;
Nérondes;576454;18350;c;18411;;23319;;22613;
Nesle (Somme);313486;80190;c;62261;;66110;;72439;
Neuilly Porte Maillot;381020;75017;b;6436800;;6436800;;6436800;
Neuves Maisons;141507;54230;c;18860;;23983;;36359;
Neuville;396028;72190;c;6800;;7875;;7696;
Nice Pont Michel;590299;;c;19375;;15143;;1982;
Nieul;592410;87510;c;4532;;4971;;5087;
Nîmes;775007;30000;a;4006003;6655929;3836768;6394614;3880906;6468177
Noeux;342139;62390;b;99630;;108474;;104989;
Nogent l'Artaud-Charly;116566;2310;c;84236;;97649;;93297;
Nointel-Mours;276758;95590;b;394200;;394200;;394200;
Noisy le Roi;393876;78590;b;226800;;259200;;259200;
Noisy le Sec;113217;93130;b;14990400;;13359600;;13359600;
Nuits sous Ravières;713156;89390;c;27809;;29589;;29524;
Oermingen;215632;67970;c;38376;;38632;;32905;
Orgon;753707;13660;c;5038;;5796;;4250;
Orthez;672253;64300;b;146771;;159656;;162642;
Ossun;671313;65380;c;333;;576;;614;
Ouges;712604;21600;c;6175;;4906;;5462;
Voutré;478560;53600;c;5610;;5856;;6320;
Vraincourt;143024;52310;c;6530;;7445;;5941;
Wissembourg;213470;67160;b;180858;;190830;;189801;
Zetting;193649;57115;c;17138;;16868;;15781;
Zillisheim;182196;68720;c;31787;;32290;;28920;
Zornhoff-Monswiller;212217;67700;;;;;;;
Agay;757559;83530;c;18866;;18504;;18133;
Agonac;595157;24460;c;903;;937;;938;
Aguilcourt-Variscourt;171702;2190;c;9560;;9812;;8919;
Aiguebelle;741256;73220;c;71236;;67323;;57929;
Ailly sur Noye;313221;80250;b;105897;;115633;;122200;
Aix en Provence;751404;13100;b;565960;;580311;;623992;
Aix la Marsalouse;594291;19200;c;;;;;;
Albertville;741645;73200;b;316567;;343789;;345958;
Albi Madeleine;615195;81000;c;48755;;59438;;56211;
Albias;613398;82350;c;8913;;10037;;9949;
Alet les Bains;615187;11580;c;416;;;;20;
Altkirch;182238;68130;b;277034;;278880;;287502;
Ambronay Priay;743146;1500;c;7322;;7396;;7208;
Amplepuis;721035;69550;b;295261;;285725;;283803;
Anché Voulon;575332;86700;c;11895;;14372;;14225;
Andrésy;381491;78570;b;626400;;464400;;464400;
Angerville;543090;91670;c;129600;;129600;;129600;
Anor;295055;59186;c;19631;;21667;;23402;
Antibes;757674;6600;a;1622742;;1760924;;1713093;
Anvin;317255;62134;c;18065;;18891;;20250;
Arles;753657;13200;b;568552;797737;578368;814603;565035;795825
Arras;342014;62000;a;3994260;;3972158;;3906175;
Aubazine Saint Hilaire;594465;19190;c;7733;;8722;;8718;
Aubusson;597823;23200;c;7227;;7416;;7431;
Auch;611749;32000;b;206756;;221986;;244061;
Audun le Roman;194357;54560;c;6259;;9726;;8558;
Aulnoye Aymeries;295600;59620;b;572220;;599695;;638946;
Auterive;611384;31190;b;386977;;405502;;405926;
Avesnelles;295725;59440;c;4793;;5795;;6562;
Avignon TGV;318964;84000;a;3678716;5444674;4244310;6241633;3495516;5140464
Avignonet;616011;31290;c;26106;;27471;;26334;
Avion;342584;62210;b;74612;;77091;;83946;
Ay;171561;51160;c;67253;;64871;;64764;
Azay sur Cher;574442;37270;c;13060;;13268;;14773;
Balbigny;726869;42510;b;97473;;109793;;115357;
Bar sur Aube;118299;10200;c;78607;;79046;;86106;
Baroncourt;192658;55240;c;7048;;9964;;12416;
Bas Monistrol;726778;43120;b;87570;;94970;;62020;
Base aérienne;30;;c;;;;;;
Basse Ham;191601;57110;c;567;;1253;;1393;
Batz sur Mer;481770;44740;c;9640;;8676;;7607;
Baule;574152;45130;c;11249;;11977;;14666;
Bazoches;171348;2220;c;7515;;10324;;11196;
Beau Marais;317610;62100;c;1716;;1258;;332;
Beaucaire;775023;30300;c;8161;;9053;;8814;
Beaumont le Roger;387183;27170;c;11742;;12056;;11608;
Beaune;713545;21200;b;870512;;927362;;960801;
Bédarieux;781609;34600;c;15076;;15912;;15855;
Belfort;184002;90000;a;1052682;;1149902;;1196866;
Bellegarde;745000;1200;a;1256178;;1197657;;1168295;
Belloy-Saint-Martin;276550;95270;b;167400;;167400;;167400;
Bengy;576447;18520;c;10215;;7197;;7551;
Bersac;592352;87370;c;5026;;4794;;5414;
Beuvry lès Béthune;342402;62660;c;12930;;14963;;14770;
Beynes;393363;78650;b;140400;;140400;;140400;
Biache Saint-Vaast;342097;62118;c;56668;;60234;;62183;
Billy Montigny;345140;62420;b;200772;;211486;;217817;
Bischheim;212308;67800;c;45095;;42810;;47082;
Blangy sur Ternoise;317248;62770;c;1002;;1616;;1634;
Blesme-Haussignemont;174326;51340;;177;;;;;
Bohain;296269;2110;b;162504;;160831;;158435;
Boigneville;684407;91720;c;54000;;54000;;27000;
Boisset (Cantal);645184;15600;c;65;;115;;;
Boissy l'Aillerie;381152;95650;b;182934;;178200;;178200;
Bolbec Nointot;413351;76210;c;7832;;9078;;10778;
Bolquère-Eyne;784801;66210;c;2839;;3136;;4721;
Bonneval;545731;28800;c;35403;;41470;;39125;
Bordeaux Saint-Jean;581009;33800;a;12253951;15902907;11975482;15552574;12018728;15608738
Bouaye;481200;44830;c;16976;;14615;;12035;
Boucau;673095;64340;c;5075;;7712;;8152;
Bougival;382440;78170;b;842400;;745200;;745200;
Bourg en Bresse;743005;1000;a;1715679;;1768560;;1765941;
Boutigny;681478;91820;b;199800;;199800;;248400;
Boves;313213;80440;c;15454;;15966;;18795;
Breteil;471102;35160;c;85689;;81826;;80089;
Breteuil Embranchement;313247;60120;c;35890;;38018;;41263;
Bretteville Norrey;444042;14740;c;19598;;19574;;19052;
Breuillet-Bruyères le Châtel;545483;91650;b;486000;;486000;;486000;
Brignoud;747451;38190;b;230335;;255124;;261796;
Brimeux;317180;62170;c;439;;960;;1561;
Brion Montreal la Cluse;131961;1460;c;37261;;43769;;42433;
Brive la Gaillarde;594002;19100;a;797188;;827337;;878422;
Bugeat;592162;19170;c;6027;;7190;;7881;
Cadaujac;582684;33140;c;38358;;41023;;41103;
Caen;444000;14000;a;3043126;3350029;3223446;3542249;3290788;3616250
Cambo les Bains;673657;64250;c;6099;;6990;;6011;
Capdenac;613109;12700;c;66384;;72183;;76947;
Capvern;671156;65130;c;7244;;7524;;6729;
Carignan Gare;172353;8110;c;27022;;30315;;27918;
Carnoules;755371;83660;c;68478;;67360;;65162;
Casino Lacroix Laval;208553;69260;c;18210;;20131;;15820;
Cercottes;543033;45520;c;29250;;29845;;27512;
Cergy Préfecture;381905;95800;b;11075400;;11070000;;11070000;
Chaingy Fourneaux-Plage;574111;45380;c;10296;;10891;;10627;
Tillières sur Avre;393587;27570;c;48;;;;15;
Toulouse Matabiau;611004;31500;a;10035656;15521420;9961154;13281539;10133953;13511937
Tricot;313353;60420;c;55361;;58137;;61377;
Trie Château;381236;60590;c;16459;;18263;;18401;
Trois Puits;171264;51500;c;66;;438;;549;
Tronsanges;696203;58400;c;3638;;4804;;5209;
Ur les Escaldes;784884;66760;c;15;;23;;;
Urçay;576348;3360;c;6764;;5699;;6967;
Urmatt;214635;67280;b;128533;;133208;;133418;
Ussel;594093;19200;c;53783;;60786;;60297;
Ustaritz;673624;64480;c;2309;;1892;;1858;
Valenciennes;343004;59300;a;3050787;;3144318;;3206930;
Valmondois;276535;95760;b;742437;;853200;;853200;
Varangeville Saint-Nicolas;141101;54110;b;257807;;253233;;264844;
Vaucelles;276626;95150;b;556200;;556200;;556200;
Vaux sur Seine;381814;78740;b;372600;;302400;;302400;
Vauxaillon;297283;2320;c;6610;;6279;;4675;
Vauzelles;691469;58640;c;1373;;2206;;3321;
Vénerque le Vernet;611392;31810;b;187662;;185474;;186983;
Verneuil sur Vienne;592675;87430;c;27;;74;;276;
Vernou sur Seine;682468;77670;c;54000;;54000;;54000;
Vert Galant;271437;93420;b;7511400;;7511400;;7511400;
Vézelise;141606;54330;c;15337;;19919;;21391;
